a,b,rho,xu,zu,N_front,k_spring,dz_max,dx_max,Cq_min,MR_min,MR_max,stroke_needed,F_shock_max,h_cap_rigid,h_cap_soft,feasible,failed
110.0,44.0,0.7,-20.0,20.0,34.3,25.73,81.0,-2.5,0.55,0.159,0.257,17.3,444.4,32.5,45.0,False,Cq 0.55
110.0,44.0,0.7,-20.0,40.0,34.3,12.41,81.0,-2.5,0.55,0.369,0.387,30.4,377.7,32.5,45.0,False,Cq 0.55
110.0,44.0,0.7,-20.0,60.0,34.3,8.6,81.0,-2.5,0.55,0.444,0.55,39.3,337.6,32.5,45.0,False,Cq 0.55
110.0,44.0,0.7,0.0,20.0,34.3,73.61,81.0,-2.5,0.55,0.152,0.177,13.2,974.9,32.5,45.0,False,Cq 0.55;F_shock 975
110.0,44.0,0.7,0.0,40.0,34.3,23.66,81.0,-2.5,0.55,0.268,0.35,24.6,581.3,32.5,45.0,False,Cq 0.55
110.0,44.0,0.7,0.0,60.0,34.3,13.62,81.0,-2.5,0.55,0.353,0.489,33.2,452.4,32.5,45.0,False,Cq 0.55
110.0,44.0,0.9,-40.0,20.0,34.3,11.36,81.0,-2.5,0.55,0.098,0.386,21.1,240.2,32.5,45.0,False,Cq 0.55;MR range
110.0,44.0,0.9,-40.0,40.0,34.3,6.55,81.0,-2.5,0.55,0.392,0.509,37.4,245.2,32.5,45.0,False,Cq 0.55
110.0,44.0,0.9,-40.0,60.0,34.3,4.86,81.0,-2.5,0.55,0.59,0.631,48.9,237.5,32.5,45.0,False,Cq 0.55;stroke 49
110.0,44.0,0.9,-20.0,20.0,34.3,26.15,81.0,-2.5,0.55,0.147,0.255,16.6,433.7,32.5,45.0,False,Cq 0.55;MR range
110.0,44.0,0.9,-20.0,40.0,34.3,11.43,81.0,-2.5,0.55,0.369,0.385,30.6,349.4,32.5,45.0,False,Cq 0.55
110.0,44.0,0.9,-20.0,60.0,34.3,7.32,81.0,-2.5,0.55,0.481,0.562,41.6,304.1,32.5,45.0,False,Cq 0.55;stroke 42
110.0,44.0,0.9,0.0,20.0,34.3,69.88,81.0,-2.5,0.55,0.156,0.176,13.4,935.9,32.5,45.0,False,Cq 0.55;F_shock 936
110.0,44.0,0.9,0.0,40.0,34.3,21.11,81.0,-2.5,0.55,0.283,0.355,25.5,538.7,32.5,45.0,False,Cq 0.55
110.0,44.0,0.9,0.0,60.0,34.3,11.47,81.0,-2.5,0.55,0.385,0.516,35.7,409.1,32.5,45.0,False,Cq 0.55
110.0,66.0,0.5,-40.0,20.0,34.3,9.99,86.1,-16.7,0.676,0.269,0.399,29.7,297.0,32.5,45.0,False,Cq 0.68;shock min len
110.0,66.0,0.5,-40.0,40.0,34.3,8.65,86.1,-16.7,0.676,0.418,0.443,36.6,316.2,32.5,45.0,False,Cq 0.68;shock min len
110.0,66.0,0.5,-40.0,60.0,34.3,8.02,86.1,-16.7,0.676,0.442,0.487,39.1,313.5,32.5,45.0,False,Cq 0.68
110.0,66.0,0.5,-20.0,20.0,34.3,25.12,86.1,-16.7,0.676,0.189,0.252,19.0,478.5,32.5,45.0,False,Cq 0.68
110.0,66.0,0.5,-20.0,40.0,34.3,15.46,86.1,-16.7,0.676,0.32,0.35,28.3,437.2,32.5,45.0,False,Cq 0.68
110.0,66.0,0.5,-20.0,60.0,34.3,12.15,86.1,-16.7,0.676,0.362,0.43,33.3,403.9,32.5,45.0,False,Cq 0.68
110.0,66.0,0.5,0.0,20.0,34.3,93.01,86.1,-16.7,0.676,0.131,0.156,12.3,1140.6,32.5,45.0,False,Cq 0.68;MR range;F_shock 1141
110.0,66.0,0.5,0.0,40.0,34.3,33.3,86.1,-16.7,0.676,0.219,0.285,21.3,710.6,32.5,45.0,False,Cq 0.68
110.0,66.0,0.5,0.0,60.0,34.3,20.68,86.1,-16.7,0.676,0.278,0.372,27.4,566.4,32.5,45.0,False,Cq 0.68
110.0,66.0,0.7,-40.0,20.0,34.3,9.67,86.1,-16.7,0.676,0.195,0.406,26.8,259.0,32.5,45.0,False,Cq 0.68
110.0,66.0,0.7,-40.0,40.0,34.3,6.99,86.1,-16.7,0.676,0.427,0.478,38.7,270.2,32.5,45.0,False,Cq 0.68
110.0,66.0,0.7,-40.0,60.0,34.3,5.83,86.1,-16.7,0.676,0.517,0.561,45.6,265.7,32.5,45.0,False,Cq 0.68;stroke 46
110.0,66.0,0.7,-20.0,20.0,34.3,24.25,86.1,-16.7,0.676,0.171,0.256,18.4,446.7,32.5,45.0,False,Cq 0.68
110.0,66.0,0.7,-20.0,40.0,34.3,12.85,86.1,-16.7,0.676,0.345,0.352,29.9,384.7,32.5,45.0,False,Cq 0.68
110.0,66.0,0.7,-20.0,60.0,34.3,9.12,86.1,-16.7,0.676,0.418,0.481,37.9,345.8,32.5,45.0,False,Cq 0.68
110.0,66.0,0.7,0.0,20.0,34.3,83.87,86.1,-16.7,0.676,0.138,0.158,12.7,1062.4,32.5,45.0,False,Cq 0.68;MR range;F_shock 1062
110.0,66.0,0.7,0.0,40.0,34.3,27.17,86.1,-16.7,0.676,0.242,0.303,23.2,630.2,32.5,45.0,False,Cq 0.68
110.0,66.0,0.7,0.0,60.0,34.3,15.55,86.1,-16.7,0.676,0.32,0.421,31.3,487.1,32.5,45.0,False,Cq 0.68
110.0,66.0,0.9,-40.0,20.0,34.3,9.95,86.1,-16.7,0.676,0.166,0.4,24.9,247.5,32.5,45.0,False,Cq 0.68
110.0,66.0,0.9,-40.0,40.0,34.3,6.42,86.1,-16.7,0.676,0.392,0.498,38.4,246.6,32.5,45.0,False,Cq 0.68
